Course Name,link,Description,Course Outline
"Health, Long-term Care and Disability Insurance","https://erevuka.org/course/details/Health,-Long-term-Care-and-Disability-Insurance",This course provides an overview of health insurance and discusses the various types of healthcare insurance plans for individuals. It covers both private and government health care plans. The course then describes the provisions of long-term care insurance and disability insurance..,"Introduction., Private Health Insurance., Private Health Care Plan., Government Health Care Plans., Long-term Care Insurance., Disability Insurance., Summary."
Managing Personal Finances,https://erevuka.org/course/details/Managing-Personal-Finances-Erevuka-Academy,"For many people, finances are an unsolvable Rubik's cube filled with anxiety. There are millions of Americans who live with the shackles of debt each day.","Understand your personal expenses, Know the benefits of making a budget, Set financial goals, Develop good spending habits, Learn how to pay off debt, Learn how to effectively make a budget"
Group Insurance,https://erevuka.org/course/details/Group-Insurance,This course provides an overview of group insurance contracts that include group insurance policy provisions and group life insurance policy provisions.,"Introduction, Group Insurance Underwriting, Group Insurance Policy Provisions, Group Life Insurance Provisions, Group Insurance Premiums, Group Life Insurance Plans, Group Plan Administration, Summary"
Annuities,https://erevuka.org/course/details/Annuities,"This course provides an overview of annuities and discusses the importance of annuities. The course also explains the various types of annuities. In addition, it discusses the various provisions of annuity contracts.","Introduction, Operating of Annuities, Type of Annuities, Life Annuities, Annuity Contract Provisions, Annuities Calculations, Summary"
Analysis and Evaluation of Risk Exposure,https://erevuka.org/course/details/Analysis-and-Evaluation-of-Risk-Exposure,This course discusses the concepts of underwriting and claims. It discusses the basic principles of underwriting and the basis for calculating the premium. The course also outlines the claims procedure.,"Introduction, Personal Risk, Property Risk, Business Liability, Legal Aspects of Insurance, Summary"
General Insurance: Individuals,https://erevuka.org/course/details/General-Insurance:-Individuals,"This course discusses the various types of general insurance policies available for individuals. We will outline the typical provisions of auto insurance, and also describe the financial coverage provided by homeowner’s insurance. Finally, we will discuss the umbrella liability insurance available for individuals.","Introduction, Auto Insurance, Homeowner’s Insurance, Summary"
Actuarial Principles,https://erevuka.org/course/details/Actuarial-Principles,"This coverage provides an overview of the role of actuary in insurance business. It also describes the difference between principles and standards used in actuarial profession. In addition, it outlines the principles of actuarial science based on probability and statistics, behavioral economics, actuarial model and financial system.","Introduction, Principles and Standards, Summary"
Principles of Insurance,https://erevuka.org/course/details/Principles-of-Insurance,This course defines insurance and discusses the various related to insurance. It also explains the various methods of dealing with risks.,"Objectives, Introduction, Non-Insurance Response to Risk, Summary"
Underwriting and Claims,https://erevuka.org/course/details/Underwriting-and-Claims,This course discusses the concepts of underwriting and claims. It discusses the basic principles of underwriting and the basis for calculating the premium. The course also outlines the claims procedure.,"Introduction, Hazard, The Underwriting Process, Risk Survey, Calculation of Premiums, Claims, Summary"
Reinsurance,https://erevuka.org/course/details/Reinsurance,"This course provides an overview of reinsurance and its needs and basic functions. It also provides a detailed analysis of various types and methods of reinsurance. In addition, it describes the mechanism of alternative risk transfer.","Introduction, ﻿Types and Methods of Reinsurance I, Types and Methods of Reinsurance II, Alternative Risk Transfer, Functions of Reinsurance, Summary"
